,Property Type,Transaction Type,City,District,Price (Million VND),Area (m2),Direction,Rooms,Toilets,Legal Papers
10388,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,14912.3,78.9,Null,2.0,1.0,Giấy tờ khác
10389,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3933.1,55.9,Đông Bắc,1.0,1.0,Giấy tờ khác
10390,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4284.5,41.0,Null,2.0,1.0,Đã có sổ
10391,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4835.6,45.6,Null,2.0,1.0,Đã có sổ
10392,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2679.3,101.7,Nam,4.0,2.0,Giấy tờ khác
10393,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3682.3,44.9,Bắc,2.0,1.0,Đã có sổ
10394,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9067.0,74.7,Đông,2.0,2.0,Đã có sổ
10395,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7745.1,108.2,Tây Nam,4.0,3.0,Đã có sổ
10396,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,9715.9,78.7,Null,2.0,2.0,Đã có sổ
10397,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,15468.3,77.3,Null,2.0,2.0,Giấy tờ khác
10398,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,12326.6,107.1,Đông Bắc,4.0,2.0,Đã có sổ
10399,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,15806.8,63.5,Đông Nam,2.0,1.0,Đã có sổ
10400,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,10097.9,105.4,Tây Nam,3.0,2.0,Đang chờ sổ
10401,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,11995.6,98.0,Null,2.0,2.0,Giấy tờ khác
10402,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7449.7,32.7,Null,1.0,1.0,Đã có sổ
10403,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10895.0,78.7,Tây Nam,3.0,2.0,Đang chờ sổ
10404,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3848.0,43.5,Đông Bắc,2.0,1.0,Giấy tờ khác
10405,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7924.9,115.4,Đông Bắc,4.0,3.0,Giấy tờ khác
10406,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6271.2,50.4,Đông,2.0,1.0,Giấy tờ khác
10407,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7610.5,59.2,Null,1.0,1.0,Đã có sổ
10408,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5586.4,56.0,Null,1.0,1.0,Đã có sổ
10409,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4267.8,58.1,Null,2.0,1.0,Giấy tờ khác
10410,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8739.5,82.0,Đông Nam,3.0,2.0,Đã có sổ
10411,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4640.2,45.7,Null,1.0,1.0,Giấy tờ khác
10412,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,10984.4,113.0,Null,3.0,2.0,Đã có sổ
10413,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,12362.4,106.4,Tây Nam,3.0,3.0,Đã có sổ
10414,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,6357.5,106.6,Đông Bắc,3.0,2.0,Đang chờ sổ
10415,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6590.6,60.0,Null,2.0,1.0,Đang chờ sổ
10416,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8415.9,78.3,Tây Nam,2.0,1.0,Đã có sổ
10417,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4706.0,150.6,Bắc,4.0,3.0,Đã có sổ
10418,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,11064.6,78.7,Null,2.0,2.0,Giấy tờ khác
10419,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,7127.3,109.6,Đông Nam,3.0,2.0,Đã có sổ
10420,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4199.0,50.8,Tây Bắc,2.0,1.0,Giấy tờ khác
10421,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3144.2,59.5,Đông Bắc,2.0,1.0,Giấy tờ khác
10422,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4491.9,44.3,Null,2.0,1.0,Đang chờ sổ
10423,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8183.2,108.6,Tây Bắc,4.0,2.0,Đã có sổ
10424,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3592.5,66.8,Tây Nam,1.0,1.0,Giấy tờ khác
10425,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7525.4,99.4,Đông Nam,3.0,1.0,Giấy tờ khác
10426,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,18531.1,74.7,Bắc,2.0,2.0,Đang chờ sổ
10427,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,10205.6,80.6,Null,3.0,1.0,Giấy tờ khác
10428,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6330.9,121.8,Đông Bắc,4.0,3.0,Giấy tờ khác
10429,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5547.0,38.1,Tây Nam,1.0,1.0,Đã có sổ
10430,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9996.8,77.4,Đông Nam,2.0,2.0,Giấy tờ khác
10431,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,9832.2,110.3,Null,4.0,2.0,Đã có sổ
10432,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7623.9,83.3,Đông Nam,2.0,1.0,Giấy tờ khác
10433,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4197.0,76.6,Null,2.0,1.0,Đang chờ sổ
10434,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4458.6,114.0,Null,4.0,3.0,Đang chờ sổ
10435,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 11,4592.5,53.5,Nam,1.0,1.0,Đã có sổ
10436,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6403.9,146.0,Null,3.0,3.0,Giấy tờ khác
10437,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9628.2,49.5,Tây Bắc,1.0,1.0,Đang chờ sổ
10438,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3567.1,102.2,Bắc,4.0,3.0,Giấy tờ khác
10439,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7094.6,71.3,Null,2.0,2.0,Giấy tờ khác
10440,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,10516.2,119.8,Null,4.0,3.0,Giấy tờ khác
10441,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6737.7,146.3,Nam,2.0,3.0,Đang chờ sổ
10442,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5585.0,128.2,Đông Bắc,3.0,2.0,Đang chờ sổ
10443,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8091.5,63.7,Null,2.0,1.0,Đang chờ sổ
10444,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,15155.8,78.7,Tây Nam,3.0,1.0,Đã có sổ
10445,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4024.3,133.4,Tây Bắc,4.0,2.0,Giấy tờ khác
10446,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,13665.3,116.4,Null,4.0,3.0,Giấy tờ khác
10447,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6133.1,61.3,Null,1.0,1.0,Giấy tờ khác
10448,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,9364.8,71.8,Đông,3.0,1.0,Giấy tờ khác
10449,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10676.5,116.2,Đông Bắc,3.0,3.0,Giấy tờ khác
10450,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4995.7,115.5,Null,4.0,2.0,Giấy tờ khác
10451,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2445.4,53.5,Null,2.0,1.0,Giấy tờ khác
10452,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3035.5,78.7,Null,3.0,2.0,Giấy tờ khác
10453,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2228.8,78.7,Null,2.0,1.0,Đã có sổ
10454,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8835.4,93.6,Bắc,3.0,2.0,Giấy tờ khác
10455,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5378.1,73.1,Nam,2.0,2.0,Đang chờ sổ
10456,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6962.7,58.1,Null,1.0,1.0,Đang chờ sổ
10457,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,14864.4,70.5,Bắc,2.0,1.0,Đang chờ sổ
10458,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4106.6,42.9,Nam,1.0,1.0,Đang chờ sổ
10459,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,11974.4,69.3,Đông Bắc,2.0,1.0,Đang chờ sổ
10460,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6658.9,80.7,Null,2.0,2.0,Đang chờ sổ
10461,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10894.2,112.6,Nam,3.0,2.0,Đã có sổ
10462,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7728.7,86.6,Đông,3.0,2.0,Đang chờ sổ
10463,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3872.7,82.5,Bắc,2.0,2.0,Giấy tờ khác
10464,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8635.4,103.0,Tây Nam,3.0,1.0,Giấy tờ khác
10465,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,12278.8,110.1,Nam,4.0,2.0,Đang chờ sổ
10466,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3467.1,66.7,Nam,2.0,1.0,Giấy tờ khác
10467,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3503.6,78.7,Null,1.0,1.0,Giấy tờ khác
10468,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4284.8,47.2,Tây Nam,2.0,1.0,Đã có sổ
10469,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,8288.8,133.1,Đông,3.0,2.0,Đã có sổ
10470,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7009.0,57.2,Tây Bắc,2.0,1.0,Đang chờ sổ
10471,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5154.1,49.0,Nam,2.0,1.0,Giấy tờ khác
10472,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,13825.5,78.7,Null,2.0,1.0,Giấy tờ khác
10473,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,19691.6,89.7,Đông Bắc,2.0,1.0,Giấy tờ khác
10474,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4512.3,50.9,Đông Bắc,1.0,1.0,Giấy tờ khác
10475,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2229.7,77.6,Null,3.0,2.0,Đã có sổ
10476,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,9645.5,142.9,Null,4.0,3.0,Đã có sổ
10477,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,7446.4,114.7,Tây Bắc,4.0,3.0,Giấy tờ khác
10478,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3251.6,45.2,Tây Nam,1.0,1.0,Giấy tờ khác
10479,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7498.5,69.3,Tây Nam,2.0,1.0,Giấy tờ khác
10480,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6137.4,91.1,Đông,2.0,2.0,Đã có sổ
10481,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5806.8,125.9,Tây,4.0,2.0,Giấy tờ khác
10482,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6705.5,77.3,Nam,2.0,1.0,Giấy tờ khác
10483,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2639.3,59.9,Tây,2.0,1.0,Đã có sổ
10484,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4569.3,32.8,Đông Nam,1.0,1.0,Đã có sổ
10485,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4428.6,52.2,Nam,2.0,1.0,Giấy tờ khác
10486,"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Huyện Bình Chánh,8189.5,146.4,Đông Nam,4.0,3.0,Giấy tờ khác
10487,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6893.7,101.9,Null,3.0,3.0,Đã có sổ
10488,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,8670.6,63.6,Đông Bắc,1.0,1.0,Đang chờ sổ
10489,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,15940.8,71.8,Đông,3.0,2.0,Giấy tờ khác
10490,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3374.6,40.7,Đông Nam,1.0,1.0,Giấy tờ khác
10491,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6701.2,92.8,Null,2.0,1.0,Giấy tờ khác
10492,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,13423.7,104.6,Bắc,2.0,2.0,Đang chờ sổ
10493,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7122.1,43.6,Tây Nam,2.0,1.0,Giấy tờ khác
10494,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,15580.2,120.0,Nam,3.0,2.0,Đã có sổ
10495,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7554.1,141.8,Đông Bắc,3.0,2.0,Giấy tờ khác
10496,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5082.5,54.1,Tây Nam,1.0,1.0,Đang chờ sổ
10497,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3227.1,85.0,Đông,3.0,2.0,Giấy tờ khác
10499,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,6744.8,130.6,Đông Nam,4.0,3.0,Đã có sổ
10500,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6759.0,60.6,Null,1.0,1.0,Đã có sổ
10501,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8293.8,101.6,Tây Nam,2.0,3.0,Đã có sổ
10502,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8000.0,78.7,Nam,4.0,3.0,Đã có sổ
10503,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6137.2,53.1,Tây Bắc,1.0,1.0,Giấy tờ khác
10504,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5589.3,105.2,Đông Bắc,4.0,3.0,Đang chờ sổ
10505,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,16736.3,90.0,Đông Bắc,3.0,1.0,Giấy tờ khác
10506,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4635.1,78.7,Tây,4.0,2.0,Đang chờ sổ
10507,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2014.3,58.6,Đông Bắc,1.0,1.0,Giấy tờ khác
10508,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6557.8,31.6,Tây,1.0,1.0,Giấy tờ khác
10509,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4182.8,44.7,Bắc,2.0,1.0,Đã có sổ
10510,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7367.3,83.6,Null,3.0,1.0,Giấy tờ khác
10511,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7924.4,97.6,Đông Bắc,3.0,2.0,Đang chờ sổ
10512,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10711.1,90.5,Đông,3.0,2.0,Giấy tờ khác
10513,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,8476.2,69.2,Null,2.0,1.0,Đã có sổ
10514,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3217.6,96.6,Null,3.0,1.0,Đã có sổ
10515,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,11066.7,105.0,Đông,4.0,3.0,Đang chờ sổ
10516,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,11273.8,97.7,Null,2.0,2.0,Đã có sổ
10517,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5410.3,38.8,Nam,2.0,1.0,Đã có sổ
10518,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,8397.9,72.8,Tây Bắc,3.0,1.0,Giấy tờ khác
10519,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4791.0,67.4,Nam,1.0,1.0,Đang chờ sổ
10520,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5509.5,71.3,Bắc,3.0,1.0,Giấy tờ khác
10521,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2797.6,57.1,Null,1.0,1.0,Đang chờ sổ
10522,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5387.0,62.5,Tây Nam,1.0,1.0,Giấy tờ khác
10523,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7722.2,38.9,Null,1.0,1.0,Đã có sổ
10524,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7825.8,79.3,Đông,2.0,2.0,Giấy tờ khác
10525,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3513.5,114.6,Null,4.0,3.0,Giấy tờ khác
10526,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,4112.5,82.5,Đông Bắc,3.0,2.0,Đang chờ sổ
10527,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,12487.1,61.2,Nam,2.0,1.0,Giấy tờ khác
10528,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9949.4,84.7,Tây Bắc,3.0,2.0,Giấy tờ khác
10529,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,12148.3,103.4,Null,4.0,2.0,Đang chờ sổ
10530,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4563.2,97.8,Tây Nam,3.0,2.0,Giấy tờ khác
10531,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5771.8,94.6,Tây,3.0,1.0,Giấy tờ khác
10532,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5555.1,78.7,Bắc,3.0,2.0,Đang chờ sổ
10533,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6850.6,82.4,Null,2.0,2.0,Đã có sổ
10534,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7020.7,78.9,Đông Bắc,2.0,1.0,Giấy tờ khác
10535,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8605.7,82.0,Nam,3.0,1.0,Đang chờ sổ
10536,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4977.5,118.8,Null,3.0,2.0,Đã có sổ
10537,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,8839.7,49.9,Null,1.0,1.0,Đã có sổ
10538,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6045.4,59.2,Đông,1.0,1.0,Giấy tờ khác
10539,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,12845.0,100.4,Đông Bắc,4.0,2.0,Giấy tờ khác
10540,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5275.9,120.4,Đông Nam,3.0,3.0,Giấy tờ khác
10541,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2355.7,61.3,Null,1.0,1.0,Đang chờ sổ
10542,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,9752.1,80.6,Tây Nam,3.0,1.0,Đã có sổ
10543,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7801.9,102.2,Tây Nam,4.0,3.0,Giấy tờ khác
10544,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7221.7,145.8,Nam,4.0,3.0,Giấy tờ khác
10545,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,10643.1,82.4,Tây Nam,2.0,2.0,Đang chờ sổ
10546,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8344.8,99.4,Đông,3.0,1.0,Đã có sổ
10547,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5881.5,148.9,Đông Bắc,3.0,3.0,Đã có sổ
10548,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4258.9,78.7,Đông Nam,2.0,1.0,Đang chờ sổ
10549,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,10928.7,89.5,Null,3.0,2.0,Đang chờ sổ
10550,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18302.8,89.3,Nam,3.0,1.0,Đang chờ sổ
10551,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9623.7,81.2,Null,2.0,2.0,Đang chờ sổ
10552,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6770.9,82.0,Đông Nam,3.0,1.0,Đã có sổ
10553,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6484.6,71.3,Tây Nam,3.0,2.0,Đang chờ sổ
10554,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4186.4,141.9,Đông Nam,3.0,1.0,Đã có sổ
10555,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9887.4,109.6,Bắc,3.0,2.0,Đã có sổ
10556,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,11546.9,96.6,Nam,2.0,2.0,Đã có sổ
10557,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,18069.0,81.7,Null,2.0,1.0,Đang chờ sổ
10558,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5144.2,78.7,Đông,1.0,1.0,Giấy tờ khác
10559,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7832.9,63.5,Đông,2.0,1.0,Đang chờ sổ
10560,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4580.4,58.7,Tây Nam,1.0,1.0,Giấy tờ khác
10561,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4161.5,117.2,Null,3.0,1.0,Đang chờ sổ
10562,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,8542.3,92.0,Tây Bắc,2.0,2.0,Đang chờ sổ
10563,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5184.7,114.0,Null,4.0,3.0,Đang chờ sổ
10564,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5404.1,56.0,Null,2.0,1.0,Giấy tờ khác
10565,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4004.1,28.5,Đông Nam,1.0,1.0,Đang chờ sổ
10566,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,8559.2,48.9,Nam,1.0,1.0,Đang chờ sổ
10567,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9038.6,73.5,Tây,3.0,1.0,Đã có sổ
10568,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,11253.1,110.3,Đông,4.0,3.0,Giấy tờ khác
10569,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,6832.2,59.5,Đông,2.0,1.0,Giấy tờ khác
10570,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4394.8,101.4,Tây,4.0,2.0,Đã có sổ
10571,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5266.5,40.7,Null,1.0,1.0,Giấy tờ khác
10572,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7696.3,76.3,Tây Bắc,2.0,1.0,Đã có sổ
10573,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6947.3,66.5,Tây Bắc,2.0,1.0,Đã có sổ
10574,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4843.1,44.4,Bắc,2.0,1.0,Giấy tờ khác
10575,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,9338.6,77.0,Tây Bắc,2.0,2.0,Đã có sổ
10576,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,9518.2,110.5,Tây Bắc,4.0,3.0,Giấy tờ khác
10577,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6317.1,71.8,Null,2.0,2.0,Giấy tờ khác
10578,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,5152.6,78.7,Tây,3.0,1.0,Đã có sổ
10579,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8123.6,93.1,Đông Nam,2.0,1.0,Đã có sổ
10580,"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5955.3,49.0,Null,2.0,1.0,Đã có sổ
